id,title,date_issued,year,subjects,genre,item_url,doi_url,thumbnail_url,image_url,pdf_url,rights
rutgers-lib:72361,"City Gardens Trenton, Flipper Public Tour LTD, Sun Jan 18th 5pm-9pm 1987",1987-01-18,1987,Trenton (N.J.); Flipper; City Gardens,Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/72361/,https://doi.org/doi:10.7282/t3-9k9r-6585,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72361/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72361/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72361/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:74259,"Middlesex College, P.E.D., April 7th",1987-10-23,1987,"New Brunswick, N.J.; Sonic Youth (Musical group); Blind Idiot Gods (Musical group); Shock Mommies (Musical group); Atkins, Henry; Hernandez, Lucas",Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/74259/,https://doi.org/doi:10.7282/t3-4snc-q534,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74259/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74259/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74259/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:72343,East Coast Rocker April 20th 1988 Robyn Hitchcock,1988-04-20,1988,"East Coast (North America); Hitchcock, Robyn",Newspaper,https://rucore.libraries.rutgers.edu/rutgers-lib/72343/,https://doi.org/doi:10.7282/t3-yb4y-df60,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72343/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72343/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72343/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70253,"L.S.D., Bedlam, Destroy All Bands : The Court Tavern",1989-09-26,1989,New Brunswick (N.J.); L.S.D. (Musical group); Bedlam (Musical group); Destroy All Bands (Musical group); The Court Tavern,Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70253/,https://doi.org/doi:10.7282/t3-x1nj-ta20,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70253/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70253/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70090,"Panic : Cook College Student Center, The Court Tavern",1989-12,1989,New Brunswick (N.J.); Panic (Musical group); Cook College Student Center; The Court Tavern,Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70090/,https://doi.org/doi:10.7282/t3-q27x-vb45,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70090/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70090/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:72357,"ABC No Rio 156 Rivington St, Born Against, Mossicon (DC), Dec 15th 1990",1990-12-15,1990,New York City (N.Y.); Washington (D.C.); Born Against; Mossicon; ABC No Rio,Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/72357/,https://doi.org/doi:10.7282/t3-g1by-ap25,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72357/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72357/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72357/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:72358,"ABC No Rio 156 Rivington St, Neutral Nation (RI), Affirmative Action, Urgent Fury, Grin Dec 22nd 3pm 1990",1990-12-22,1990,New York City (N.Y.); Neutral Nation; Affirmative Action; Urgent Fury; Grin; ABC No Rio,Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/72358/,https://doi.org/doi:10.7282/t3-73wa-z688,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72358/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72358/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72358/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:74247,"C.I.S.P.E.S. Homeless Benefit+One Hand Clapping, The Ledge off George St, College Ave, Pleased Youth, Bodies in Panic (B.I.P.), Scram (philly), Shock Momies, P.E.D., Poetry by Elliot Katz, Sat Sep 20th, 8pm",1990,1990,"New Brunswick, N.J.; Philadelphia (Pa.); One Hand Clapping (Musical group); Pleased Youth (Musical group); Bodies in Panic (Musical group); Scram (Musical group); Shock Mommies (Musical group); P.E.D. (Musical group); Katz, Elliot",Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/74247/,https://doi.org/doi:10.7282/t3-k3dd-bq54,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74247/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74247/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74247/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70252,"Loose, Big Nurse, Hippie Witches : The Court Tavern",1990-1996,1990,New Brunswick (N.J.); Loose (Musical group),Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70252/,https://doi.org/doi:10.7282/t3-krz2-9q03,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70252/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70252/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:74249,"The Observatory George St/Hamilton St Corner, Liquid, Fri Dec 1st 8:30pm",1990,1990,"New Brunswick, N.J.; Liquid (Musical group)",Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/74249/,https://doi.org/doi:10.7282/t3-j652-ea28,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74249/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74249/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74249/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:74253,"WRSU presents Douglass Cafe Douglass Campus NB, Rainer Maria, Sparks Fly From a Kiss, Crayon Rosary, Zelda Pinwheel, Fri Dec 5th 6pm",1990,1990,"New Brunswick, N.J.; Rainer Maria (Musical group); Sparks Fly from a Kiss (Musical group); Crayon Rosary (Musical group); Zelda Pinwheel (Musical group)",Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/74253/,https://doi.org/doi:10.7282/t3-hc7m-p636,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74253/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74253/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74253/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70259,"""Four years for what?"": retributOIn, No Matter, P.E.D. : 310 Somerset Street",1992-05-21,1992,New Brunswick (N.J.); P.E.D. (Musical group); retribuOIn (Musical group); No Matter (Musical group),Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70259/,https://doi.org/doi:10.7282/t3-kf10-yb90,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70259/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70259/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70259/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70250,"Kiaro Skuro, The Christines : The Melody Bar",1992-04-02,1992,New Brunswick (N.J.); Kiaro Skuro (Musical group),Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70250/,https://doi.org/doi:10.7282/t3-wv29-9a58,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70250/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70250/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:72366,New Brunswick Focus Wed Jan 22 1992,1992-01-22,1992,New Brunswick (N.J.); New Brunswick Focus,Newspaper,https://rucore.libraries.rutgers.edu/rutgers-lib/72366/,https://doi.org/doi:10.7282/t3-b7q6-1406,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72366/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72366/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72366/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:72362,The Raging Lamos,1992-01-01,1992,New Brunswick (N.J.); The Raging Lamos,Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/72362/,https://doi.org/doi:10.7282/t3-m28f-xc20,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72362/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72362/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72362/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70258,"Policy of 3, Weston, Deadguy, Mr. Thumb : 149 Somerset St.",1993-06-26,1993,New Brunswick (N.J.); Policy of 3 (Musical group); Weston (Musical group); Deadguy (Musical group); Mr. Thumb (Musical group),Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70258/,https://doi.org/doi:10.7282/t3-gw43-ky28,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70258/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70258/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70258/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70256,"""Corporate Rock Stores Suck"" : Cheap Thrills Records",1994,1994,New Brunswick (N.J.); Cheap Thrills Records,Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70256/,https://doi.org/doi:10.7282/t3-85wt-fj33,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70256/THUMBJPEG/1,,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:72359,"Bowl O Drome 89 Jersey Ave NB, P.J. Frigiola, Rich Caposino, NYE 1994, 9pm to 3am",1994-12-31,1994,"New Brunswick (N.J.); Frigiola, P.J.; Caposino, Rich; Bowl O' Drome",Postcard,https://rucore.libraries.rutgers.edu/rutgers-lib/72359/,https://doi.org/doi:10.7282/t3-7a62-hq05,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72359/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72359/JPEG/1,,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70260,"Ex Vegas, Mildred Pierce, Seething Grey : Bowl-O-Drome",1994-07-20,1994,New Brunswick (N.J.); Ex Vegas (Musical group); Mildred Pierce (Musical group); Seething Grey (Musical group); Bowl-O-Drome,Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70260/,https://doi.org/doi:10.7282/t3-xcgc-5j91,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70260/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70260/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70260/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70093,"Rotator Cuff, Versus : Cook College Student Center",1994-12-08,1994,New Brunswick (N.J.); Rotator Cuff (Musical group); Versus (Musical group); Cook College Student Center,Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70093/,https://doi.org/doi:10.7282/t3-n3kw-fe28,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70093/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70093/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:74255,"Deadguy,bleed, and Damnation AD, Friday Jan 27, at 8 pm for FREE, Cook College Cafe",1995-01-27,1995,"New Brunswick, N.J.; Deadguy (Musical group); Bleed (Musical group); DamnationAD (Musical group)",Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/74255/,https://doi.org/doi:10.7282/t3-pxrh-kb79,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74255/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74255/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74255/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70244,"Murphy's Law, Ujima : Springfest '95",1995-04-22,1995,New Brunswick (N.J.); Murphy's Law (Musical group); Ujima (Musical group),Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70244/,https://doi.org/doi:10.7282/t3-2ktk-wk05,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70244/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70244/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:74254,"A.o.D, Pleasded Youth, B.i.P, P.E.D., Mar. 28, Livingston Student Center",1996-03-05,1996,"New Brunswick, N.J.; A.O.D. (Musical group); Pleased Youth (Musical group); B.I.P. (Musical group); P.E.D. (Musical group)",Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/74254/,https://doi.org/doi:10.7282/t3-at28-pt95,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74254/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74254/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74254/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70255,"Mars Needs Women, Das Yahoos, Spellbinder : The Court Tavern",1996-11-21,1996,New Brunswick (N.J.); Mars Needs Women (Musical group),Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70255/,https://doi.org/doi:10.7282/t3-nb59-tx38,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70255/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70255/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70251,Rotator Cuff : Melody Bar,1996-05-24,1996,New Brunswick (N.J.); Rotator Cuff (Musical group); The Melody Bar,Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70251/,https://doi.org/doi:10.7282/t3-ra95-6a05,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70251/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70251/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70251/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70092,The Insomniacs : Brighton Bar,1996-09-07,1996,New Brunswick (N.J.); The Insomniacs (Musical group); The Brighton Bar,Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70092/,https://doi.org/doi:10.7282/t3-z917-xe96,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70092/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70092/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
